[2025-09-17 13:58:44] [thread  4948  ] [  info  ] | 0#��[01|01][已发现] => id:abilities/dracolyte/dragon_familiar_npc, old_id:abilities/dracolyte/dragon_familiar_npc, 优先级:600, 初距:0.76, 等级:1601332596, 坐标(56.80, 176.35, 129.34) 
[2025-09-17 13:59:59] [thread  17100 ] [  info  ] | [01|01][已发现] => id:abilities/dracolyte/dragon_familiar_npc, old_id:abilities/dracolyte/dragon_familiar_npc, 优先级:600, 初距:0.65, 等级:1601332596, 坐标(56.80, 176.42, 129.33) 
[2025-09-17 14:02:39] [thread  19124 ] [  info  ] | [01|01][已发现] => id:abilities/dracolyte/dragon_familiar_npc, 优先级:600, 初距:0.42, 等级:1601332596, 坐标(56.80, 176.60, 129.53) 
[2025-09-17 14:03:22] [thread  19124 ] [  info  ] | 终端日志：已关闭（文件日志仍然写入） 
[2025-09-17 14:03:24] [thread  19124 ] [  info  ] | 终端日志：已开启（文件日志仍然写入） 
[2025-09-17 14:03:25] [thread  19124 ] [  info  ] | 终端日志：已关闭（文件日志仍然写入） 
[2025-09-17 14:03:40] [thread  19124 ] [  info  ] | 终端日志：已开启（文件日志仍然写入） 
[2025-09-17 14:03:44] [thread  19124 ] [  info  ] | 终端日志：已关闭（文件日志仍然写入） 
[2025-09-17 14:03:46] [thread  19124 ] [  info  ] | 终端日志：已开启（文件日志仍然写入） 
[2025-09-17 14:03:56] [thread  19124 ] [  info  ] | 终端日志：已关闭（文件日志仍然写入） 
[2025-09-17 16:56:05] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:08] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:11] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:14] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:17] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:20] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:23] [thread  18428 ] [ error  ] | Health:1827.0 
